Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
میری قسمت میں فقط درد تہہ ساغر ہی ہے,merī qismat meñ faqat durdetahesāġhar hī hai,م ی ر ی   ق س م ت   م ی ں   ف ق ط   د ر د   ت ہ ہ   س ا غ ر   ہ ی   ہ ے,m e r ī   q i s m a t   m e ñ   f a q a t   d u r d e t a h e s ā ġ h a r   h ī   h a i
قسم بہی کہائی تہی قران بہی اٹہایا تہا,qasam bhī khaaī thī qurān bhī uthāyā thā,ق س م   ب ہ ی   ک ہ ا ئ ی   ت ہ ی   ق ر ا ن   ب ہ ی   ا ٹ ہ ا ی ا   ت ہ ا,q a s a m   b h ī   k h a a ī   t h ī   q u r ā n   b h ī   u t h ā y ā   t h ā
بیتابیٔ تجلیٔ اتش بجاں نہ پوچہ,betābīetajallīeātishbajāñ na pūchh,ب ی ت ا ب ی ٔ   ت ج ل ی ٔ   ا ت ش   ب ج ا ں   ن ہ   پ و چ ہ,b e t ā b ī e t a j a l l ī e ā t i s h b a j ā ñ   n a   p ū c h h
بہت تلاش پس قتل عام ہوتی رہی,bahut talāsh paseqatleām hotī rahī,ب ہ ت   ت ل ا ش   پ س   ق ت ل   ع ا م   ہ و ت ی   ر ہ ی,b a h u t   t a l ā s h   p a s e q a t l e ā m   h o t ī   r a h ī
ہر وقت کا رونا تو بے کار کا رونا ہے,har vaqt kā ronā to bekār kā ronā hai,ہ ر   و ق ت   ک ا   ر و ن ا   ت و   ب ے   ک ا ر   ک ا   ر و ن ا   ہ ے,h a r   v a q t   k ā   r o n ā   t o   b e k ā r   k ā   r o n ā   h a i
اک تری دید چہن گئی مجہ سے,ik tirī diid chhin gaī mujh se,ا ک   ت ر ی   د ی د   چ ہ ن   گ ئ ی   م ج ہ   س ے,i k   t i r ī   d i i d   c h h i n   g a ī   m u j h   s e
رات کو رو رو صبح کیا یا دن کو جوں توں شام کیا,raat ko ro ro subh kiyā yā din ko juuñ tuuñ shaam kiyā,ر ا ت   ک و   ر و   ر و   ص ب ح   ک ی ا   ی ا   د ن   ک و   ج و ں   ت و ں   ش ا م   ک ی ا,r a a t   k o   r o   r o   s u b h   k i y ā   y ā   d i n   k o   j u u ñ   t u u ñ   s h a a m   k i y ā
جنگ کا ہتہیار طے کچہ اور تہا,jañg kā hathiyār tai kuchh aur thā,ج ن گ   ک ا   ہ ت ہ ی ا ر   ط ے   ک چ ہ   ا و ر   ت ہ ا,j a ñ g   k ā   h a t h i y ā r   t a i   k u c h h   a u r   t h ā
یہ رنج و عیش ہوئے ہجر و وصل میں ہم کو,ye rañj o aish hue hijr o vasl meñ ham ko,ی ہ   ر ن ج   و   ع ی ش   ہ و ئ ے   ہ ج ر   و   و ص ل   م ی ں   ہ م   ک و,y e   r a ñ j   o   a i s h   h u e   h i j r   o   v a s l   m e ñ   h a m   k o
ہم نے خود سے بہی چہپایا اور سارے شہر کو,ham ne ḳhud se bhī chhupāyā aur saare shahr ko,ہ م   ن ے   خ و د   س ے   ب ہ ی   چ ہ پ ا ی ا   ا و ر   س ا ر ے   ش ہ ر   ک و,h a m   n e   ḳ h u d   s e   b h ī   c h h u p ā y ā   a u r   s a a r e   s h a h r   k o
نہ اتے نہ اتے یہاں اتے اتے,na aate na aate yahāñ aate aate,ن ہ   ا ت ے   ن ہ   ا ت ے   ی ہ ا ں   ا ت ے   ا ت ے,n a   a a t e   n a   a a t e   y a h ā ñ   a a t e   a a t e
لطمۂ موج کم از سیلئ استاد نہیں,lutmaemauj kamaz sailieustād nahīñ,ل ط م ۂ   م و ج   ک م   ا ز   س ی ل ئ   ا س ت ا د   ن ہ ی ں,l u t m a e m a u j   k a m a z   s a i l i e u s t ā d   n a h ī ñ
دلبروں کے شکار ہم بہی ہیں,dilbaroñ ke shikār ham bhī haiñ,د ل ب ر و ں   ک ے   ش ک ا ر   ہ م   ب ہ ی   ہ ی ں,d i l b a r o ñ   k e   s h i k ā r   h a m   b h ī   h a i ñ
مجہ کو کہئے برا نہ غیر کے ساتہ,mujh ko kahiye burā na ġhair ke saath,م ج ہ   ک و   ک ہ ئ ے   ب ر ا   ن ہ   غ ی ر   ک ے   س ا ت ہ,m u j h   k o   k a h i y e   b u r ā   n a   ġ h a i r   k e   s a a t h
لیتے ہیں اہل جنوں کیا کیا تصور کے مزے,lete haiñ ahlejunūñ kyā kyā tasavvur ke maze,ل ی ت ے   ہ ی ں   ا ہ ل   ج ن و ں   ک ی ا   ک ی ا   ت ص و ر   ک ے   م ز ے,l e t e   h a i ñ   a h l e j u n ū ñ   k y ā   k y ā   t a s a v v u r   k e   m a z e
تو نے تو اپنے در سے مجہ کو اٹہا دیا ہے,tū ne to apne dar se mujh ko uthā diyā hai,ت و   ن ے   ت و   ا پ ن ے   د ر   س ے   م ج ہ   ک و   ا ٹ ہ ا   د ی ا   ہ ے,t ū   n e   t o   a p n e   d a r   s e   m u j h   k o   u t h ā   d i y ā   h a i
کم ہو کیسے ان خوشیوں سے تیرا غم,kam ho kaise in ḳhushiyoñ se terā ġham,ک م   ہ و   ک ی س ے   ا ن   خ و ش ی و ں   س ے   ت ی ر ا   غ م,k a m   h o   k a i s e   i n   ḳ h u s h i y o ñ   s e   t e r ā   ġ h a m
ایک پیغام زندگانی بہی,ek paiġhāmezindagānī bhī,ا ی ک   پ ی غ ا م   ز ن د گ ا ن ی   ب ہ ی,e k   p a i ġ h ā m e z i n d a g ā n ī   b h ī
نیرنگ عشق کی ہے کوئی انتہا کہ یہ,nairañgeishq kī hai koī intihā ki ye,ن ی ر ن گ   ع ش ق   ک ی   ہ ے   ک و ئ ی   ا ن ت ہ ا   ک ہ   ی ہ,n a i r a ñ g e i s h q   k ī   h a i   k o ī   i n t i h ā   k i   y e
سنتے ہو اہل قافلہ میں کوئی راہ بر نہیں,sunte ho ahleqāfila maiñ koī rāhbar nahīñ,س ن ت ے   ہ و   ا ہ ل   ق ا ف ل ہ   م ی ں   ک و ئ ی   ر ا ہ   ب ر   ن ہ ی ں,s u n t e   h o   a h l e q ā f i l a   m a i ñ   k o ī   r ā h b a r   n a h ī ñ
حیراں ہے جبیں اج کدہر سجدہ روا ہے,hairāñ hai jabīñ aaj kidhar sajda ravā hai,ح ی ر ا ں   ہ ے   ج ب ی ں   ا ج   ک د ہ ر   س ج د ہ   ر و ا   ہ ے,h a i r ā ñ   h a i   j a b ī ñ   a a j   k i d h a r   s a j d a   r a v ā   h a i
پہر ان سے نہ ملنے کی قسم کہا تو گئے ہم,phir un se na milne kī qasam khā to gae ham,پ ہ ر   ا ن   س ے   ن ہ   م ل ن ے   ک ی   ق س م   ک ہ ا   ت و   گ ئ ے   ہ م,p h i r   u n   s e   n a   m i l n e   k ī   q a s a m   k h ā   t o   g a e   h a m
میں بچا تیر حوادث سے نشانہ بن کر,maiñ bachā tīrehavādis se nishāna ban kar,م ی ں   ب چ ا   ت ی ر   ح و ا د ث   س ے   ن ش ا ن ہ   ب ن   ک ر,m a i ñ   b a c h ā   t ī r e h a v ā d i s   s e   n i s h ā n a   b a n   k a r
بندہ گئی تہی دل میں کچہ امید سی,bañdh gaī thī dil meñ kuchh ummīd sī,ب ن د ہ   گ ئ ی   ت ہ ی   د ل   م ی ں   ک چ ہ   ا م ی د   س ی,b a ñ d h   g a ī   t h ī   d i l   m e ñ   k u c h h   u m m ī d   s ī
اس کے بندوں کو دیکہ کر کہئے,us ke bandoñ ko dekh kar kahiye,ا س   ک ے   ب ن د و ں   ک و   د ی ک ہ   ک ر   ک ہ ئ ے,u s   k e   b a n d o ñ   k o   d e k h   k a r   k a h i y e
درس تپش ہے برق کو اب جس کے نام سے,darsetapish hai barq ko ab jis ke naam se,د ر س   ت پ ش   ہ ے   ب ر ق   ک و   ا ب   ج س   ک ے   ن ا م   س ے,d a r s e t a p i s h   h a i   b a r q   k o   a b   j i s   k e   n a a m   s e
خون جگر میں ایک ہی غوطہ دیا مجہے,ḳhūnejigar meñ ek hī ġhota diyā mujhe,خ و ن   ج گ ر   م ی ں   ا ی ک   ہ ی   غ و ط ہ   د ی ا   م ج ہ ے,ḳ h ū n e j i g a r   m e ñ   e k   h ī   ġ h o t a   d i y ā   m u j h e
ازل سے انکہ ہے پر نم ہماری,azal se aañkh hai purnam hamārī,ا ز ل   س ے   ا ن ک ہ   ہ ے   پ ر   ن م   ہ م ا ر ی,a z a l   s e   a a ñ k h   h a i   p u r n a m   h a m ā r ī
بے نیازی کی شان کہتی ہے,beniyāzī kī shaan kahtī hai,ب ے   ن ی ا ز ی   ک ی   ش ا ن   ک ہ ت ی   ہ ے,b e n i y ā z ī   k ī   s h a a n   k a h t ī   h a i
اپنی حالت تباہ کر لی ہے,apnī hālat tabāh kar lī hai,ا پ ن ی   ح ا ل ت   ت ب ا ہ   ک ر   ل ی   ہ ے,a p n ī   h ā l a t   t a b ā h   k a r   l ī   h a i
ہم سفر راہ عدم میں نہ ہو تاروں بہری رات,hamsafar rāheadam meñ na ho tāroñbharī raat,ہ م   س ف ر   ر ا ہ   ع د م   م ی ں   ن ہ   ہ و   ت ا ر و ں   ب ہ ر ی   ر ا ت,h a m s a f a r   r ā h e a d a m   m e ñ   n a   h o   t ā r o ñ b h a r ī   r a a t
کہیں سر راہ گزار بیٹہا ستم کش انتظار ہوگا,kahīñ sarerāhguzār baithā sitamkash intizār hogā,ک ہ ی ں   س ر   ر ا ہ   گ ز ا ر   ب ی ٹ ہ ا   س ت م   ک ش   ا ن ت ظ ا ر   ہ و گ ا,k a h ī ñ   s a r e r ā h g u z ā r   b a i t h ā   s i t a m k a s h   i n t i z ā r   h o g ā
ہم سے بہی کچہ کبہی کہیں کہتے,ham se bhī kuchh kabhī kahīñ kahte,ہ م   س ے   ب ہ ی   ک چ ہ   ک ب ہ ی   ک ہ ی ں   ک ہ ت ے,h a m   s e   b h ī   k u c h h   k a b h ī   k a h ī ñ   k a h t e
وہ بہی اب ہم سے تہک گیا ہوگا,vo bhī ab ham se thak gayā hogā,و ہ   ب ہ ی   ا ب   ہ م   س ے   ت ہ ک   گ ی ا   ہ و گ ا,v o   b h ī   a b   h a m   s e   t h a k   g a y ā   h o g ā
صبح تیرا درس پایا تہا صنم,subh terā dars paayā thā sanam,ص ب ح   ت ی ر ا   د ر س   پ ا ی ا   ت ہ ا   ص ن م,s u b h   t e r ā   d a r s   p a a y ā   t h ā   s a n a m
ہم سے جو ہو سکا سو کر گزرے,ham se jo ho sakā so kar guzre,ہ م   س ے   ج و   ہ و   س ک ا   س و   ک ر   گ ز ر ے,h a m   s e   j o   h o   s a k ā   s o   k a r   g u z r e
کرتے ہیں کار فرہاد اساں زمین میں بہی,karte haiñ kārefarhād āsāñ zamīn meñ bhī,ک ر ت ے   ہ ی ں   ک ا ر   ف ر ہ ا د   ا س ا ں   ز م ی ن   م ی ں   ب ہ ی,k a r t e   h a i ñ   k ā r e f a r h ā d   ā s ā ñ   z a m ī n   m e ñ   b h ī
جو مشکل اب ہے یا رب پہر وہی مشکل نہ بن جائے,jo mushkil ab hai yā rab phir vahī mushkil na ban jaae,ج و   م ش ک ل   ا ب   ہ ے   ی ا   ر ب   پ ہ ر   و ہ ی   م ش ک ل   ن ہ   ب ن   ج ا ئ ے,j o   m u s h k i l   a b   h a i   y ā   r a b   p h i r   v a h ī   m u s h k i l   n a   b a n   j a a e
وہی انداز ہے ظالم کا زمانے والا,vahī andāz hai zālim kā zamāne vaalā,و ہ ی   ا ن د ا ز   ہ ے   ظ ا ل م   ک ا   ز م ا ن ے   و ا ل ا,v a h ī   a n d ā z   h a i   z ā l i m   k ā   z a m ā n e   v a a l ā
پاتے نہیں جب راہ تو چڑہ جاتے ہیں نالے,paate nahīñ jab raah to chaḍh jaate haiñ naale,پ ا ت ے   ن ہ ی ں   ج ب   ر ا ہ   ت و   چ ڑ ہ   ج ا ت ے   ہ ی ں   ن ا ل ے,p a a t e   n a h ī ñ   j a b   r a a h   t o   c h a ḍ h   j a a t e   h a i ñ   n a a l e
ویسے تو تمہیں نے مجہے برباد کیا ہے,vaise to tumhīñ ne mujhe barbād kiyā hai,و ی س ے   ت و   ت م ہ ی ں   ن ے   م ج ہ ے   ب ر ب ا د   ک ی ا   ہ ے,v a i s e   t o   t u m h ī ñ   n e   m u j h e   b a r b ā d   k i y ā   h a i
تو اس قدر مجہے اپنے قریب لگتا ہے,tū is qadar mujhe apne qarīb lagtā hai,ت و   ا س   ق د ر   م ج ہ ے   ا پ ن ے   ق ر ی ب   ل گ ت ا   ہ ے,t ū   i s   q a d a r   m u j h e   a p n e   q a r ī b   l a g t ā   h a i
دل طلب کرتا ہے زخم اور مانگے ہیں اعضا نمک,dil talab kartā hai zaḳhm aur māñge haiñ aazā namak,د ل   ط ل ب   ک ر ت ا   ہ ے   ز خ م   ا و ر   م ا ن گ ے   ہ ی ں   ا ع ض ا   ن م ک,d i l   t a l a b   k a r t ā   h a i   z a ḳ h m   a u r   m ā ñ g e   h a i ñ   a a z ā   n a m a k
ارزو ایک طرف دل سے جدا ہوتی ہے,aarzū ek taraf dil se judā hotī hai,ا ر ز و   ا ی ک   ط ر ف   د ل   س ے   ج د ا   ہ و ت ی   ہ ے,a a r z ū   e k   t a r a f   d i l   s e   j u d ā   h o t ī   h a i
دل مانتا نہیں کہ نظر کامیاب ہے,dil māntā nahīñ ki nazar kāmyāb hai,د ل   م ا ن ت ا   ن ہ ی ں   ک ہ   ن ظ ر   ک ا م ی ا ب   ہ ے,d i l   m ā n t ā   n a h ī ñ   k i   n a z a r   k ā m y ā b   h a i
لطف عطا کا کیا ہو جب ہاں سے ہو پیشتر نہیں,lutf atā kā kyā ho jab haañ se ho peshtar nahīñ,ل ط ف   ع ط ا   ک ا   ک ی ا   ہ و   ج ب   ہ ا ں   س ے   ہ و   پ ی ش ت ر   ن ہ ی ں,l u t f   a t ā   k ā   k y ā   h o   j a b   h a a ñ   s e   h o   p e s h t a r   n a h ī ñ
پہر یوں ہوا وہ چند مکانوں میں بٹ گیا,phir yuuñ huā vo chand makānoñ meñ bat gayā,پ ہ ر   ی و ں   ہ و ا   و ہ   چ ن د   م ک ا ن و ں   م ی ں   ب ٹ   گ ی ا,p h i r   y u u ñ   h u ā   v o   c h a n d   m a k ā n o ñ   m e ñ   b a t   g a y ā
اہ سحر نے سوزش دل کو مٹا دیا,āhesahar ne sozishedil ko mitā diyā,ا ہ   س ح ر   ن ے   س و ز ش   د ل   ک و   م ٹ ا   د ی ا,ā h e s a h a r   n e   s o z i s h e d i l   k o   m i t ā   d i y ā
چہرہ و نام ایک ساتہ اج نہ یاد آ سکے,chehra o naam ek saath aaj na yaad aa sake,چ ہ ر ہ   و   ن ا م   ا ی ک   س ا ت ہ   ا ج   ن ہ   ی ا د   ا ٓ   س ک ے,c h e h r a   o   n a a m   e k   s a a t h   a a j   n a   y a a d   a a   s a k e
وحشت بہ داغ سایۂ بال ہما کروں,vahshat badāġhesāyaebālehumā karūñ,و ح ش ت   ب ہ   د ا غ   س ا ی ۂ   ب ا ل   ہ م ا   ک ر و ں,v a h s h a t   b a d ā ġ h e s ā y a e b ā l e h u m ā   k a r ū ñ
ہوں کشمکش نزع میں ہاں جذب محبت,huuñ kashmakashenaza meñ haañ jazbemohabbat,ہ و ں   ک ش م ک ش   ن ز ع   م ی ں   ہ ا ں   ج ذ ب   م ح ب ت,h u u ñ   k a s h m a k a s h e n a z a   m e ñ   h a a ñ   j a z b e m o h a b b a t
بہت دنوں سے مرا دل اداس ہے محسنؔ,bahut dinoñ se mirā dil udaas hai mohsin,ب ہ ت   د ن و ں   س ے   م ر ا   د ل   ا د ا س   ہ ے   م ح س ن ؔ,b a h u t   d i n o ñ   s e   m i r ā   d i l   u d a a s   h a i   m o h s i n
ہمارے دور میں انسو زباں نہیں ہوتا,hamāre daur meñ aañsū zabāñ nahīñ hotā,ہ م ا ر ے   د و ر   م ی ں   ا ن س و   ز ب ا ں   ن ہ ی ں   ہ و ت ا,h a m ā r e   d a u r   m e ñ   a a ñ s ū   z a b ā ñ   n a h ī ñ   h o t ā
غم نہیں لکہوں کیا میں غم کو جشن لکہوں کیا ماتم کو,ġham nahīñ likkhūñ kyā maiñ ġham ko jashn likhūñ kyā mātam ko,غ م   ن ہ ی ں   ل ک ہ و ں   ک ی ا   م ی ں   غ م   ک و   ج ش ن   ل ک ہ و ں   ک ی ا   م ا ت م   ک و,ġ h a m   n a h ī ñ   l i k k h ū ñ   k y ā   m a i ñ   ġ h a m   k o   j a s h n   l i k h ū ñ   k y ā   m ā t a m   k o
سوال مجہ سے یہ کرتی ہے تیرے ہجر کی شام,savāl mujh se ye kartī hai tere hijr kī shaam,س و ا ل   م ج ہ   س ے   ی ہ   ک ر ت ی   ہ ے   ت ی ر ے   ہ ج ر   ک ی   ش ا م,s a v ā l   m u j h   s e   y e   k a r t ī   h a i   t e r e   h i j r   k ī   s h a a m
جو یہ بجہ جائے چراغ رہ عرفاں ہو جائے,jo ye bujh jaae charāġheraheirfāñ ho jaae,ج و   ی ہ   ب ج ہ   ج ا ئ ے   چ ر ا غ   ر ہ   ع ر ف ا ں   ہ و   ج ا ئ ے,j o   y e   b u j h   j a a e   c h a r ā ġ h e r a h e i r f ā ñ   h o   j a a e
پیشانی پر ہے قشقہ زنار ہے کمر میں,peshānī par hai qashqa zunnār hai kamar meñ,پ ی ش ا ن ی   پ ر   ہ ے   ق ش ق ہ   ز ن ا ر   ہ ے   ک م ر   م ی ں,p e s h ā n ī   p a r   h a i   q a s h q a   z u n n ā r   h a i   k a m a r   m e ñ
یہ حسن و عشق بظاہر ہیں بے خبر پہر بہی,ye husn o ishq bazāhir haiñ beḳhabar phir bhī,ی ہ   ح س ن   و   ع ش ق   ب ظ ا ہ ر   ہ ی ں   ب ے   خ ب ر   پ ہ ر   ب ہ ی,y e   h u s n   o   i s h q   b a z ā h i r   h a i ñ   b e ḳ h a b a r   p h i r   b h ī
ہمیں سے اپ کا شہرا ہوا ہے,hamīñ se aap kā shohrā huā hai,ہ م ی ں   س ے   ا پ   ک ا   ش ہ ر ا   ہ و ا   ہ ے,h a m ī ñ   s e   a a p   k ā   s h o h r ā   h u ā   h a i
وہ وقت نہ ائے کہ دل زار بہی سوچے,vo vaqt na aae ki dilezār bhī soche,و ہ   و ق ت   ن ہ   ا ئ ے   ک ہ   د ل   ز ا ر   ب ہ ی   س و چ ے,v o   v a q t   n a   a a e   k i   d i l e z ā r   b h ī   s o c h e
اپ ہی ہو نظارہ سوز پردے میں منہ چہپائے کیوں,aap hī ho nazzārasoz parde meñ muñh chhupāe kyuuñ,ا پ   ہ ی   ہ و   ن ظ ا ر ہ   س و ز   پ ر د ے   م ی ں   م ن ہ   چ ہ پ ا ئ ے   ک ی و ں,a a p   h ī   h o   n a z z ā r a s o z   p a r d e   m e ñ   m u ñ h   c h h u p ā e   k y u u ñ
تجہی سے ابتدا ہے تو ہی اک دن انتہا ہوگا,tujhī se ibtidā hai tū hī ik din intihā hogā,ت ج ہ ی   س ے   ا ب ت د ا   ہ ے   ت و   ہ ی   ا ک   د ن   ا ن ت ہ ا   ہ و گ ا,t u j h ī   s e   i b t i d ā   h a i   t ū   h ī   i k   d i n   i n t i h ā   h o g ā
نہ چہوڑوں اس لب عرفاں کو ناجیؔ اور لٹا دوں سب,na chhoḍūñ us labeirfāñ ko nājī aur lutā duuñ sab,ن ہ   چ ہ و ڑ و ں   ا س   ل ب   ع ر ف ا ں   ک و   ن ا ج ی ؔ   ا و ر   ل ٹ ا   د و ں   س ب,n a   c h h o ḍ ū ñ   u s   l a b e i r f ā ñ   k o   n ā j ī   a u r   l u t ā   d u u ñ   s a b
رقص ہے رنگ پر رنگ ہم رقص ہیں,raqs hai rañg par rañg hamraqs haiñ,ر ق ص   ہ ے   ر ن گ   پ ر   ر ن گ   ہ م   ر ق ص   ہ ی ں,r a q s   h a i   r a ñ g   p a r   r a ñ g   h a m r a q s   h a i ñ
کہ میں اس سرو قد کا مبتلا ہوں,ki maiñ us sarvqad kā mubtalā huuñ,ک ہ   م ی ں   ا س   س ر و   ق د   ک ا   م ب ت ل ا   ہ و ں,k i   m a i ñ   u s   s a r v q a d   k ā   m u b t a l ā   h u u ñ
پیڑ پر پک گیا ہے پہل شاید,peḍ par pak gayā hai phal shāyad,پ ی ڑ   پ ر   پ ک   گ ی ا   ہ ے   پ ہ ل   ش ا ی د,p e ḍ   p a r   p a k   g a y ā   h a i   p h a l   s h ā y a d
بزم ہستی اپنی ارائش پہ تو نازاں نہ ہو,bazmehastī apnī ārāish pe tū nāzāñ na ho,ب ز م   ہ س ت ی   ا پ ن ی   ا ر ا ئ ش   پ ہ   ت و   ن ا ز ا ں   ن ہ   ہ و,b a z m e h a s t ī   a p n ī   ā r ā i s h   p e   t ū   n ā z ā ñ   n a   h o
فراقؔ بزم چراغاں ہے محفل رنداں,firāq bazmecharāġhāñ hai mahfilerindāñ,ف ر ا ق ؔ   ب ز م   چ ر ا غ ا ں   ہ ے   م ح ف ل   ر ن د ا ں,f i r ā q   b a z m e c h a r ā ġ h ā ñ   h a i   m a h f i l e r i n d ā ñ
جنون ساختہ و فصل گل قیامت ہے,junūnesāḳhta o faslegul qayāmat hai,ج ن و ن   س ا خ ت ہ   و   ف ص ل   گ ل   ق ی ا م ت   ہ ے,j u n ū n e s ā ḳ h t a   o   f a s l e g u l   q a y ā m a t   h a i
یوں تو ان گلیوں سے خورشید سحر بہی ہو گیا,yuuñ to in galiyoñ se ḳhurshīdesahar bhī ho gayā,ی و ں   ت و   ا ن   گ ل ی و ں   س ے   خ و ر ش ی د   س ح ر   ب ہ ی   ہ و   گ ی ا,y u u ñ   t o   i n   g a l i y o ñ   s e   ḳ h u r s h ī d e s a h a r   b h ī   h o   g a y ā
ایک یہ گہر جس گہر میں میرا ساز و ساماں رہتا ہے,ek ye ghar jis ghar meñ merā sāzosāmāñ rahtā hai,ا ی ک   ی ہ   گ ہ ر   ج س   گ ہ ر   م ی ں   م ی ر ا   س ا ز   و   س ا م ا ں   ر ہ ت ا   ہ ے,e k   y e   g h a r   j i s   g h a r   m e ñ   m e r ā   s ā z o s ā m ā ñ   r a h t ā   h a i
نازکی اس کے لب کی کیا کہیے,nāzukī us ke lab kī kyā kahiye,ن ا ز ک ی   ا س   ک ے   ل ب   ک ی   ک ی ا   ک ہ ی ے,n ā z u k ī   u s   k e   l a b   k ī   k y ā   k a h i y e
شعلہ خس میں جیسے خوں رگ میں نہاں ہو جائے گا,shoala ḳhas meñ jaise ḳhuuñ rag meñ nihāñ ho jāegā,ش ع ل ہ   خ س   م ی ں   ج ی س ے   خ و ں   ر گ   م ی ں   ن ہ ا ں   ہ و   ج ا ئ ے   گ ا,s h o a l a   ḳ h a s   m e ñ   j a i s e   ḳ h u u ñ   r a g   m e ñ   n i h ā ñ   h o   j ā e g ā
